UMIs	ah5_path	bai_path	bam_path	celltype	designs	library_type	sample	sequencing_type	sorting
FALSE	kallisto_sample_MR_54_3_S141376/abundance.h5	star_sample_MR_54_3_S141376/star_sample_MR_54_3_S141376.bai	star_sample_MR_54_3_S141376/star_sample_MR_54_3_S141376.bam	Eos	global	first	MR_54_3_S141376	SE	BSF_1518_HM7FMDRX3_1_MR_54_03
FALSE	kallisto_sample_MR_54_40_S141412/abundance.h5	star_sample_MR_54_40_S141412/star_sample_MR_54_40_S141412.bai	star_sample_MR_54_40_S141412/star_sample_MR_54_40_S141412.bam	EosP	global	first	MR_54_40_S141412	SE	BSF_1518_HM7FMDRX3_1_MR_54_40
FALSE	kallisto_sample_MR_54_41_S141411/abundance.h5	star_sample_MR_54_41_S141411/star_sample_MR_54_41_S141411.bai	star_sample_MR_54_41_S141411/star_sample_MR_54_41_S141411.bam	EosP	global	first	MR_54_41_S141411	SE	BSF_1518_HM7FMDRX3_1_MR_54_41
FALSE	kallisto_sample_MR_54_42_S141414/abundance.h5	star_sample_MR_54_42_S141414/star_sample_MR_54_42_S141414.bai	star_sample_MR_54_42_S141414/star_sample_MR_54_42_S141414.bam	EosP	global	first	MR_54_42_S141414	SE	BSF_1518_HM7FMDRX3_1_MR_54_42
FALSE	kallisto_sample_MR_54_43_S141413/abundance.h5	star_sample_MR_54_43_S141413/star_sample_MR_54_43_S141413.bai	star_sample_MR_54_43_S141413/star_sample_MR_54_43_S141413.bam	EosP	global	first	MR_54_43_S141413	SE	BSF_1518_HM7FMDRX3_1_MR_54_43
FALSE	kallisto_sample_MR_54_44_S141416/abundance.h5	star_sample_MR_54_44_S141416/star_sample_MR_54_44_S141416.bai	star_sample_MR_54_44_S141416/star_sample_MR_54_44_S141416.bam	EosP	global	first	MR_54_44_S141416	SE	BSF_1518_HM7FMDRX3_1_MR_54_44
FALSE	kallisto_sample_MR_54_45_S141415/abundance.h5	star_sample_MR_54_45_S141415/star_sample_MR_54_45_S141415.bai	star_sample_MR_54_45_S141415/star_sample_MR_54_45_S141415.bam	EosP	global	first	MR_54_45_S141415	SE	BSF_1518_HM7FMDRX3_1_MR_54_45
FALSE	kallisto_sample_MR_54_46_S141418/abundance.h5	star_sample_MR_54_46_S141418/star_sample_MR_54_46_S141418.bai	star_sample_MR_54_46_S141418/star_sample_MR_54_46_S141418.bam	EosP	global	first	MR_54_46_S141418	SE	BSF_1518_HM7FMDRX3_1_MR_54_46
FALSE	kallisto_sample_MR_54_47_S141417/abundance.h5	star_sample_MR_54_47_S141417/star_sample_MR_54_47_S141417.bai	star_sample_MR_54_47_S141417/star_sample_MR_54_47_S141417.bam	EosP	global	first	MR_54_47_S141417	SE	BSF_1518_HM7FMDRX3_1_MR_54_47
FALSE	kallisto_sample_MR_54_48_S141420/abundance.h5	star_sample_MR_54_48_S141420/star_sample_MR_54_48_S141420.bai	star_sample_MR_54_48_S141420/star_sample_MR_54_48_S141420.bam	EosP	global	first	MR_54_48_S141420	SE	BSF_1518_HM7FMDRX3_1_MR_54_48
FALSE	kallisto_sample_MR_54_49_S141419/abundance.h5	star_sample_MR_54_49_S141419/star_sample_MR_54_49_S141419.bai	star_sample_MR_54_49_S141419/star_sample_MR_54_49_S141419.bam	GMP	global	first	MR_54_49_S141419	SE	BSF_1518_HM7FMDRX3_1_MR_54_49
FALSE	kallisto_sample_MR_54_4_S141375/abundance.h5	star_sample_MR_54_4_S141375/star_sample_MR_54_4_S141375.bai	star_sample_MR_54_4_S141375/star_sample_MR_54_4_S141375.bam	Eos	global	first	MR_54_4_S141375	SE	BSF_1518_HM7FMDRX3_1_MR_54_04
FALSE	kallisto_sample_MR_54_50_S141422/abundance.h5	star_sample_MR_54_50_S141422/star_sample_MR_54_50_S141422.bai	star_sample_MR_54_50_S141422/star_sample_MR_54_50_S141422.bam	GMP	global	first	MR_54_50_S141422	SE	BSF_1518_HM7FMDRX3_1_MR_54_50
FALSE	kallisto_sample_MR_54_51_S141421/abundance.h5	star_sample_MR_54_51_S141421/star_sample_MR_54_51_S141421.bai	star_sample_MR_54_51_S141421/star_sample_MR_54_51_S141421.bam	GMP	global	first	MR_54_51_S141421	SE	BSF_1518_HM7FMDRX3_1_MR_54_51
FALSE	kallisto_sample_MR_54_52_S141424/abundance.h5	star_sample_MR_54_52_S141424/star_sample_MR_54_52_S141424.bai	star_sample_MR_54_52_S141424/star_sample_MR_54_52_S141424.bam	GMP	global	first	MR_54_52_S141424	SE	BSF_1518_HM7FMDRX3_1_MR_54_52
FALSE	kallisto_sample_MR_54_53_S141423/abundance.h5	star_sample_MR_54_53_S141423/star_sample_MR_54_53_S141423.bai	star_sample_MR_54_53_S141423/star_sample_MR_54_53_S141423.bam	GMP	global	first	MR_54_53_S141423	SE	BSF_1518_HM7FMDRX3_1_MR_54_53
FALSE	kallisto_sample_MR_54_54_S141355/abundance.h5	star_sample_MR_54_54_S141355/star_sample_MR_54_54_S141355.bai	star_sample_MR_54_54_S141355/star_sample_MR_54_54_S141355.bam	GMP	global	first	MR_54_54_S141355	SE	BSF_1518_HM7FMDRX3_1_MR_54_54
FALSE	kallisto_sample_MR_54_55_S141354/abundance.h5	star_sample_MR_54_55_S141354/star_sample_MR_54_55_S141354.bai	star_sample_MR_54_55_S141354/star_sample_MR_54_55_S141354.bam	GMP	global	first	MR_54_55_S141354	SE	BSF_1518_HM7FMDRX3_1_MR_54_55
FALSE	kallisto_sample_MR_54_56_S141357/abundance.h5	star_sample_MR_54_56_S141357/star_sample_MR_54_56_S141357.bai	star_sample_MR_54_56_S141357/star_sample_MR_54_56_S141357.bam	GMP	global	first	MR_54_56_S141357	SE	BSF_1518_HM7FMDRX3_1_MR_54_56
FALSE	kallisto_sample_MR_54_57_S141356/abundance.h5	star_sample_MR_54_57_S141356/star_sample_MR_54_57_S141356.bai	star_sample_MR_54_57_S141356/star_sample_MR_54_57_S141356.bam	GMP	global	first	MR_54_57_S141356	SE	BSF_1518_HM7FMDRX3_1_MR_54_57
FALSE	kallisto_sample_MR_54_58_S141359/abundance.h5	star_sample_MR_54_58_S141359/star_sample_MR_54_58_S141359.bai	star_sample_MR_54_58_S141359/star_sample_MR_54_58_S141359.bam	GMP	global	first	MR_54_58_S141359	SE	BSF_1518_HM7FMDRX3_1_MR_54_58
FALSE	kallisto_sample_MR_54_59_S141358/abundance.h5	star_sample_MR_54_59_S141358/star_sample_MR_54_59_S141358.bai	star_sample_MR_54_59_S141358/star_sample_MR_54_59_S141358.bam	GMP	global	first	MR_54_59_S141358	SE	BSF_1518_HM7FMDRX3_1_MR_54_59
FALSE	kallisto_sample_MR_54_5_S141378/abundance.h5	star_sample_MR_54_5_S141378/star_sample_MR_54_5_S141378.bai	star_sample_MR_54_5_S141378/star_sample_MR_54_5_S141378.bam	Eos	global	first	MR_54_5_S141378	SE	BSF_1518_HM7FMDRX3_1_MR_54_05
FALSE	kallisto_sample_MR_54_60_S141361/abundance.h5	star_sample_MR_54_60_S141361/star_sample_MR_54_60_S141361.bai	star_sample_MR_54_60_S141361/star_sample_MR_54_60_S141361.bam	GMP	global	first	MR_54_60_S141361	SE	BSF_1518_HM7FMDRX3_1_MR_54_60
